"Product Safety Warning Number","Product Safety Warning Date","Product Safety Warning Title","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement",Units,Incidents,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
25-370,"July 3, 2025","CPSC Warns Consumers to Immediately Stop Using AIRLYA-Life Infant Walkers Due to Risk of Serious Injury or Death from Fall and Entrapment Hazards; Violation of the Mandatory Standard for Infant Walkers","AIRLYA-Life Infant Walkers","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using AIRLYA-Life Infant Walkers because they pose a risk of serious injury or death from fall and entrapment hazards. The infant walkers can fit through a standard doorway and fail to stop at the edge of a step. Also, the walkers have leg openings that can allow the child to slip down until the child’s head becomes entrapped. These are violations of the&nbsp;mandatory safety standard for infant walkers.CPSC issued a Notice of Violation to Qingdaoapuapukuajingdianzishangwuyouxiangongsi, of China, doing business as Childcrew. Childcrew is the Amazon seller and has not agreed to recall these products or offer a remedy to consumers.About 9,935 infant walkers were sold&nbsp;online on Amazon from April 2023 through April 2025 for between $63 and $100. The infant walkers may have also been sold on other websites and by various third-party sellers.&nbsp;The&nbsp;infant&nbsp;walkers have adjustable height settings and six wheels. They&nbsp;come in green with a black push handle and gray seat. “AIRLYA-Life” and “Model No:&nbsp;CLDXBC-01” are&nbsp;printed on a label located under the seat.&nbsp;CPSC is aware the firm also sold the infant walkers in black, pink and white.&nbsp;These products were manufactured in China.CPSC urges consumers to stop using&nbsp;the infant walkers immediately and dispose of them.&nbsp;Do not sell or give away these hazardous infant walkers.Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The infant walkers can fit through a standard doorway and fail to stop at the edge of a step. Also, the walkers have leg openings that can allow the child to slip down until the child’s head becomes entrapped. These are violations of the&nbsp;mandatory safety standard for infant walkers.","CPSC urges consumers to stop using the infant walkers immediately and dispose of them. Do not sell or give away these hazardous infant walkers.",,"About 9,935",,"Sold At","About 9,935 infant walkers were sold online on Amazon from April 2023 through April 2025 for between $63 and $100. The infant walkers may have also been sold on other websites and by various third-party sellers.",,,,China,,
25-373,"July 3, 2025","CPSC Warns Consumers to Immediately Stop Using Bolloco Infant Bath Seats Due to Risk of Serious Injury or Death from Drowning; Violates Federal Standard for Infant Bath Seats","Bolloco Infant Bath Seats","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using Bolloco Infant Bath Seats. The infant bath seats&nbsp;pose&nbsp;a risk of serious injury or death to babies from drowning because they are unstable and can tip over while in use, violating the mandatory standard for infant bath seats.&nbsp;CPSC issued a Notice of Violation to&nbsp;Shenzhenshiqixinshangmaoyouxiangongsi, of China, doing business as Bolloco. Bolloco is the Amazon seller and has not agreed to recall the infant bath seats or offer a remedy to consumers.&nbsp;About 1,930 infant bath seats were sold online on Amazon from March 2024 through March 2025 for between $30 and $45. The&nbsp;infant bath seats&nbsp;may have also been sold on other websites and by various third-party sellers. The&nbsp;infant bath seats are sold in gray/yellow and have two detachable arms that serve as a restraint. They also have four suction cups on the seat’s bottom and come with a cup and sponge. “PLASTIC STOOL” and “Model No.: YD-1958” are printed on a label located on the back of the infant bath seat. CPSC is aware the firm also sold the infant bath seats in gray, blue and pink.These products were manufactured in China.CPSC urges consumers to stop using the infant bath seats immediately and dispose of them. Do not sell or give away these hazardous infant bath seats.Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The infant bath seats pose&nbsp;a risk of serious injury or death to babies from drowning because they are unstable and can tip over while in use, violating the mandatory standard for infant bath seats.","CPSC urges consumers to stop using the infant bath seats immediately and dispose of them. Do not sell or give away these hazardous infant bath seats.",,"About 1,930",,"Sold At","About 1,930 infant bath seats were sold online on Amazon from March 2024 through March 2025 for between $30 and $45. The infant bath seats may have also been sold on other websites and by various third-party sellers.",,,,China,,
25-365,"June 26, 2025","CPSC Warns Consumers to Immediately Stop Using NVW Infant Walkers Due to Risk of Serious Injury or Death from Fall and Entrapment Hazards; Violation of the Federal Standard for Infant Walkers","NVW Infant Walkers","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using NVW Infant Walkers because they pose a risk of serious injury or death from fall and entrapment hazards. The infant walkers can fit through a standard doorway and fail to stop at the edge of a step. Also, the products have leg openings that can allow a child to slip down until the child's head becomes entrapped. These are violations of the federal safety standard for infant walkers.CPSC issued a Notice of Violation to Qingbaijiangenkeoubaihuojingyingbu, of China, doing business as NVW US. NVW US is the Amazon seller and it has not agreed to recall the products or offer a remedy to consumers.&nbsp;About 1,825&nbsp;infant&nbsp;walkers were sold&nbsp;online&nbsp;on Amazon from May 2024 through April 2025 for between $76 and $130.&nbsp;The&nbsp;infant&nbsp;walkers are foldable with adjustable height settings. They&nbsp;were sold in&nbsp;the color pink with a matching handle and seat. They were also sold in black, green and white with black handles. The&nbsp;infant&nbsp;walkers have six wheels and a detachable toy tray with&nbsp;a toy windmill, steering wheel and a four-button panel that plays music and lights up.&nbsp;The infant walkers have&nbsp;“Foldable Baby Walker” and “Model No: RV001” printed on a label located under the seat.These products were manufactured in China.CPSC urges consumers to stop using the infant walkers immediately and dispose of them.&nbsp;Do not sell or give away these hazardous infant walkers.Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.",,"CPSC urges consumers to stop using the infant walkers immediately and dispose of them. Do not sell or give away these hazardous infant walkers.",,"About 1,825 ",,"Sold At","About 1,825 infant walkers were sold online on Amazon from May 2024 through April 2025 for between $76 and $130.",,"Qingbaijiangenkeoubaihuojingyingbu, of China, doing business as NVW US",,China,,
25-364,"June 26, 2025","CPSC Warns Consumers to Immediately Stop Using Qizhi-Bear Infant Walkers Due to Risk of Serious Injury or Death from Fall and Entrapment Hazards; Violation of the Federal Standard for Infant Walkers","Qizhi-Bear Infant Walkers","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using Qizhi-Bear Infant Walkers because they pose a risk of serious injury or death from fall and entrapment hazards. The infant walkers can fit through a standard doorway and fail to stop at the edge of a step. Also, the walkers have leg openings that allow the child to slip down until the child's head can become entrapped. These are violations of the federal safety standard for infant walkers.&nbsp;CPSC issued a Notice of Violation to Qingdaohuanzhuyougudianzishangwuyouxiangongsi, of China, doing business as Huanzhuyougu. Huanzhuyougu is the Amazon seller and has not agreed to recall them or offer a remedy to consumers.&nbsp;About 1,600 infant walkers were sold online&nbsp;on Amazon from September 2023 through March 2025 for between $70 and $165. The infant walkers are collapsible with a round base with six wheels, nine-gear adjustable height settings and a handle to push the baby. They were sold in the following colors: white, black and pink. The infant walkers have “Qizhi-Bear” and “Model No: QZ01” printed on a label located under the seat.&nbsp;These products were manufactured in China.CPSC urges consumers to stop using the infant walkers immediately and dispose of them.&nbsp;Do not sell or give away these hazardous infant walkers.Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The infant walkers can fit through a standard doorway and fail to stop at the edge of a step. Also, the walkers have leg openings that allow the child to slip down until the child's head can become entrapped. These are violations of the federal safety standard for infant walkers.&nbsp;","CPSC urges consumers to stop using the infant walkers immediately and dispose of them. Do not sell or give away these hazardous infant walkers.",,"About 1,600 ",,"Sold At","About 1,600 infant walkers were sold online on Amazon from September 2023 through March 2025 for between $70 and $165.",,,,China,,
25-363,"June 26, 2025","CPSC Warns Consumers to Immediately Stop Using Laboomkey Electric Immersion Water Heaters Sold on Amazon.com Due to Fire and Burn Hazards; Risk of Serious Injury and Death","Laboomkey Electric Immersion Water Heaters, models RDK, RDKL, RDK-H and HT2000W","WASHINGTON, D.C. –&nbsp;The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using Laboomkey Electric Immersion Water Heaters, models RDK, RDKL, RDK-H and HT2000W, because they pose a risk of serious injury and death due to fire and burn hazards.&nbsp; The product is intended to be immersed in water for the purpose of heating the water.Changsha Yiruituo Trade Co. Ltd., of China, imports this product and has been unwilling to conduct a recall.CPSC is aware of 81 reports of the Laboomkey electric immersion water heaters igniting, melting, smoking or overheating, including at least 31 reports of fires. The defective electric immersion water heaters will catch fire if the unit is not completely submerged in water.The defective electric immersion water heaters are metal tubes with several holes stamped into the metal. Some have an attached black plastic power cord, while others have blue end caps and a white plastic power cord.&nbsp; The defective electric immersion water heaters were sold on Amazon.com from May 2023 through May 2025 for about $35.CPSC urges consumers to immediately dispose of the electric immersion water heaters. There is no remedy for consumers because the manufacturer is refusing to cooperate with CPSC.Report incidents involving these electric immersion water heaters, or any product-related injury, on&nbsp;www.SaferProducts.gov.Under section 6(b) of the Consumer Product Safety Act, CPSC is required to include with this press release any comments or other information provided by the company or a summary thereof.&nbsp;The company objects to this press release.","They pose a risk of serious injury and death due to fire and burn hazards.&nbsp; The product is intended to be immersed in water for the purpose of heating the water.&nbsp;","CPSC urges consumers to immediately dispose of the electric immersion water heaters. There is no remedy for consumers because the manufacturer is refusing to cooperate with CPSC.",,,"CPSC is aware of 81 reports of the Laboomkey electric immersion water heaters igniting, melting, smoking or overheating, including at least 31 reports of fires. ","Sold Online At","The defective electric immersion water heaters were sold on Amazon.com from May 2023 through May 2025 for about $35.","Changsha Yiruituo Trade Co. Ltd., of China, ",,,,,
25-356,"June 26, 2025","CPSC Warns Consumers to Immediately Stop Using Light-Up Nativity Set Toys Due to Risk of Serious Injury or Death from Ingestion Hazard; Violation of the Federal Safety Standard for Toys","Light-up Nativity set toys, which are labeled as “Nativity Advent Calendar""","WASHINGTON, D.C. –&nbsp;The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using the light-up Nativity set toys, which&nbsp;are labeled as “Nativity Advent Calendar.” The Nativity set toys,&nbsp;which&nbsp;contain button cell batteries,&nbsp;violate the mandatory federal standard for toys&nbsp;because the compartment that holds the batteries can be easily accessed and opened by children, posing a deadly ingestion hazard to children.If button cell or coin batteries are swallowed, they can cause serious injuries,&nbsp;including internal chemical burns and death.CPSC issued a Notice of Violation to the seller, Shenzhenshiyufandianzishangwuyouxiangongsi, doing business as Shipeng Zhuo, of China, but the firm has not agreed to an acceptable recall or to offer a remedy to consumers.&nbsp;The Nativity sets&nbsp;were sold&nbsp;online on Amazon from August 2024 through March 2025 for about $37. The toys may have also been sold on other websites or by other sellers. The sets are a Christmas theme light-up toy, which contains 25 pieces including various Nativity scene characters, animals, props and a light-up manger.&nbsp;The battery compartment of the manger contains three LR44 alkaline button cell batteries. On&nbsp;the front of the box, the product is labeled&nbsp;“Nativity Advent Calendar”. The product number “ST-012s” is on the bottom of the box.&nbsp;These products were manufactured in China.CPSC urges consumers to stop using the Nativity set toys immediately and dispose of them.&nbsp;Button cell and coin batteries are&nbsp;hazardous. The battery in the&nbsp;manger that comes with the set&nbsp;should be disposed of or recycled following local hazardous waste procedures. Do not sell or give away these hazardous Nativity sets.Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The Nativity set toys, which contain button cell batteries, violate the mandatory federal standard for toys because the compartment that holds the batteries can be easily accessed and opened by children, posing a deadly ingestion hazard to children.","CPSC urges consumers to stop using the Nativity set toys immediately and dispose of them.",,,,"Sold At","The Nativity sets were sold online on Amazon from August 2024 through March 2025 for about $37. The toys may have also been sold on other websites or by other sellers.&nbsp;",,,,China,,
25-350,"June 18, 2025","CPSC Warns Consumers to Immediately Stop Using Talenmelen Bed Rails Due to Risk of Serious Injury or Death from Entrapment and Asphyxiation Hazards; Violation of Federal Standard for Children’s Portable Bed Rails","Talenmelen Bed Rails","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using Talenmelen Bed Rails. The bed rails violate the federal standard for children’s portable bed rails because,&nbsp;when installed adjacent to the bed, a child can become entrapped between the bed rail and the side of the mattress, creating an asphyxiation hazard that poses a risk of serious injury or death.CPSC issued a Notice of Violation to the importer of record and Amazon seller, Shenzhen Hemao Tiancheng E-Commerce Co. Ltd., of China, doing business as Talenmelen. The firm has not agreed to recall these children’s portable bed rails nor offer a remedy to consumers.&nbsp;About 1,600&nbsp;children’s portable bed rails&nbsp;were sold online on Amazon&nbsp;from July 2024 through February 2025 for between $84 and $150. The bed rails were sold in the color gray and they have a steel frame with an adjustable height measuring between 27 inches and 38 inches. They were sold in quantities ranging from one bed rail to three bed rails. “Talenmelen” is printed on the gray fabric and model number “0001a” is printed on a white label stitched to the product.The children’s portable bed rails&nbsp;may have been sold by various third-party sellers and on other websites.These products were manufactured in China.CPSC urges consumers to stop using the children’s portable bed rails immediately and dispose of them.&nbsp;Do not sell or give away these hazardous children’s portable bed rails.Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The bed rails violate the federal standard for children’s portable bed rails because, when installed adjacent to the bed, a child can become entrapped between the bed rail and the side of the mattress, creating an asphyxiation hazard that poses a risk of serious injury or death.","CPSC urges consumers to stop using the children’s portable bed rails immediately and dispose of them. Do not sell or give away these hazardous children’s portable bed rails.",,"About 1,600",,"Sold At","About 1,600 children’s portable bed rails were sold online on Amazon from July 2024 through February 2025 for between $84 and $150.",,,,China,Seller:,"Shenzhen Hemao Tiancheng E-Commerce Co. Ltd., of China, doing business as Talenmelen"
25-349,"June 18, 2025","CPSC Warns Consumers to Immediately Stop Using FENGQS E-Bikes Due to Fire and Burn Hazards; Risk of Serious Injury or Death; Sold on Amazon.com","FENGQS F7 Pro E-bikes","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using FENGQS F7 Pro E-bikes because they pose a risk of serious injury and death.The e-bike’s defective lithium-ion battery can overheat and ignite, posing fire and burn hazards to consumers. CPSC has received nine reports of fires, including two reports of property damage totaling $12,000.The manufacturer, Shenzhen Fengqisi Car Industry Co. Ltd., d/b/a FENGQS, of China, has refused to agree to an acceptable recall.The e-bikes were sold in blue. The brand name “FENGQS” is printed on the downtube and the model number F7 Pro is printed on the chain stay, near the rear wheel. About 180 units were sold on Amazon.com from May 2024 through December 2024 for between $700 and $1,200.The e-bikes were manufactured in China.CPSC urges consumers to immediately remove the battery from the e-bike and dispose of the defective battery following local hazardous waste disposal procedures.Note: Do not throw this defective lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins) or used battery recycling boxes found at various retail and home improvement stores. Defective lithium-ion batteries must be disposed of differently than other batteries because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this defective lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact it ahead of time and ask whether it accepts defective lithium-ion batteries. If it does not, contact your municipality for further guidance.","The e-bike's defective lithium-ion battery can overheat and ignite, posing fire and burn hazards to consumers.","CPSC urges consumers to immediately remove the battery from the e-bike and dispose of the defective battery following local hazardous waste disposal procedures.",,"About 180","CPSC has received nine reports of fires, including two reports of property damage totaling $12,000.","Sold At","About 180 units were sold on Amazon.com from May 2024 through December 2024 for between $700 and $1,200.",,"Shenzhen Fengqisi Car Industry Co. Ltd., d/b/a FENGQS, of China",,China,,
25-348,"June 18, 2025","CPSC Warns Consumers to Immediately Stop Using Lexibook Bio Toys Magnetic Fishing Games Due to Risk of Serious Injury or Death from Ingestion Hazard; Violation of the Federal Standard for Toys","Lexibook Bio Toys Wooden Cat Magnetic Fishing Games","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using Lexibook Bio Toys Wooden Cat Magnetic Fishing Games because the game violates the magnet requirements of the mandatory federal standard for&nbsp;toys. The game contains one or more magnets that fit within CPSC’s small parts cylinder. In addition, the magnets are stronger than permitted and pose a risk of serious injury or death if ingested by children.CPSC issued a Notice of Violation to the seller, Lexibook America, Inc., of New York, but the firm has not agreed to recall the magnetic fishing game or offer a remedy to consumers.&nbsp;When high-powered magnets are swallowed, the ingested magnets can attract each other, or to another metal object, and become lodged in the digestive system. This can result in serious injuries such as intestinal perforations, twisting and/or blockage, infection, blood poisoning and death.&nbsp;The toys were sold online on Amazon from February 2024 through May 2025 for between $15 and $20. The products may have also been sold on other websites. The wooden cat-shaped frame has 10 different colored circular holes and comes with 10 colored wooden fish that fit in the hole with its matching color. The fish have metal tips on top. The game includes two wooden fishing rods with magnetic lures to attract the fish. The magnets embedded in the lures are&nbsp;high-powered and can easily be separated from the fishing rods. The Bio Toys Wooden Cat Magnetic Fishing Games have the “Bio Toys” and “Lexibook” logos printed on the front of the box.This product was manufactured in China.CPSC urges consumers to stop using the Lexibook Bio Toys Wooden Cat Magnetic Fishing Games immediately and dispose of them. Do not sell or give away these hazardous wooden magnetic fishing games.&nbsp;Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The game violates the magnet requirements of the mandatory federal standard for&nbsp;https://www.ecfr.gov/current/title-16/chapter-II/subchapter-B/part-1250…; The game contains one or more magnets that fit within CPSC’s small parts cylinder. In addition, the magnets are stronger than permitted and pose a risk of serious injury or death if ingested by children.","CPSC urges consumers to stop using the Lexibook Bio Toys Wooden Cat Magnetic Fishing Games immediately and dispose of them. Do not sell or give away these hazardous wooden magnetic fishing games.",,,,"Sold At","The toys were sold online on Amazon from February 2024 through May 2025 for between $15 and $20. The products may have also been sold on other websites.",,,,China,Seller:,"Lexibook America, Inc., of New York"
25-347,"June 18, 2025","CPSC Warns Consumers to Immediately Stop Using Recolorable Light-Up Ghost Statues Due to Risk of Serious Injury or Death from Ingestion Hazard; Violations of Federal Standard for Consumer Products with Button Cell Batteries","Recolorable Light-Up Ghost Statues","WASHINGTON, D.C. –&nbsp;The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using&nbsp;Recolorable Light-Up Ghost Statues.&nbsp;The&nbsp;ghost statues violate the mandatory federal standard for consumer products containing button cell or coin batteries.&nbsp;The&nbsp;ghost statues contain button cell batteries that can be easily accessed by children, posing a deadly ingestion hazard.&nbsp;In addition, the products do not bear&nbsp;the warning labels required under&nbsp;Reese’s Law.&nbsp;Reese’s Law and CPSC mandatory implementing standards establish performance and warning label requirements for consumer products with button cell or coin batteries to protect children from life-threatening ingestion. If a child swallows a button cell or coin battery, it can cause serious injuries, internal chemical burns or death.CPSC issued a Notice of Violation to the seller,&nbsp;Jia Yao Dian Zi Shen Zhen You Xian Gong Si, of China, but the seller has not responded to CPSC’s repeated requests to recall the ghost statues or offer a remedy to consumers.&nbsp;The&nbsp;Recolorable Light-Up Ghost Statue was sold on&nbsp;Amazon from September 2024 to April 2025 for about $27. The toys may have also been sold on other websites by other sellers. The ghost statues&nbsp;are white and&nbsp;were&nbsp;sold with six washable markers and accessories, including a Santa hat, adhesive stickers and six flower add-ons in green, pink, purple and blue. The battery compartment on the bottom of the ghost statue contains three LR44 Alkaline button cell batteries.These products were manufactured in China.CPSC urges consumers to stop using the&nbsp;ghost statues&nbsp;immediately and dispose of them.&nbsp;Button cell and coin batteries are hazardous.&nbsp;The battery in the product should be disposed of or recycled following&nbsp;local hazardous waste procedures.&nbsp;Do not sell or give away these hazardous&nbsp;Recolorable Light-Up Ghost Statues.&nbsp;Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The&nbsp;ghost statues violate the mandatory federal standard for consumer products containing button cell or coin batteries. The&nbsp;ghost statues contain button cell batteries that can be easily accessed by children, posing a deadly ingestion hazard.&nbsp;In addition, the products do not bear&nbsp;the warning labels required under&nbsp;https://www.cpsc.gov/Newsroom/News-Releases/2023/Making-Families-Safer-…’s Law.&nbsp;","CPSC urges consumers to stop using the ghost statues immediately and dispose of them. Button cell and coin batteries are hazardous. The battery in the product should be disposed of or recycled following local hazardous waste procedures. Do not sell or give away these hazardous Recolorable Light-Up Ghost Statues.",,,,"Sold At","The Recolorable Light-Up Ghost Statues were sold on Amazon from September 2024 to April 2025 for about $27. The toys may have also been sold on other websites by other sellers.",,,,China,Seller:,"Jia Yao Dian Zi Shen Zhen You Xian Gong Si, of China"
25-346,"June 18, 2025","CPSC Warns Consumers to Immediately Stop Using FRJINIE Crib Bumpers Due to Risk of Serious Injury or Death from Suffocation Hazard; Violation of the Federal Ban on Crib Bumpers","FRJINIE braided crib bumpers","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using FRJINIE braided crib bumpers because they can obstruct an infant’s breathing,&nbsp;posing a risk of serious injury or death from suffocation. Padded crib bumpers are banned under the&nbsp;Safe Sleep for Babies Act.CPSC issued a Notice of Violation to the seller, Shenzhenshi Jiahedingkejiyouxiangongsi, of China, doing business as FRJINIE. The firm has not agreed to recall these crib bumpers, nor offer a remedy to consumers.&nbsp;About 250 crib bumpers were sold online on Amazon&nbsp;from January 2025 through April 2025 for between $25 and $77. The beige, braided, plush cotton crib bumpers measure about 80 inches long.&nbsp;The crib bumpers could have been sold in other colors and sizes, and by various third-party sellers and on other websites. There are no markings or labels on the product.These products were manufactured in China.CPSC urges consumers to stop using&nbsp;the crib bumpers immediately, undo the braid, cut the strands, and dispose of them.&nbsp;Do not sell or give away the crib bumpers.&nbsp;Parents and caregivers are reminded:&nbsp;The best place for an infant to sleep is on a firm, flat surface in a crib, bassinet or play yard.Use a fitted sheet only and never add blankets, pillows, padded crib bumpers, or other items to an infant’s sleeping environment.Infants should always be placed to sleep on their back. Infants who fall asleep in an inclined or upright position should be moved to a safe sleep environment with a firm, flat surface such as a crib, bassinet or play yard.&nbsp;Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The crib bumpers can obstruct an infant’s breathing, posing a risk of serious injury or death from suffocation. Padded crib bumpers are banned under the Safe Sleep for Babies Act.","CPSC urges consumers to stop using the crib bumpers immediately, undo the braid, cut the strands, and dispose of them. Do not sell or give away the crib bumpers.",,"About 250",,"Sold At","About 250 crib bumpers were sold online on Amazon from January 2025 through April 2025 for between $25 and $77.",,,,China,Seller:,"Shenzhenshi Jiahedingkejiyouxiangongsi, of China"
25-340,"June 12, 2025","CPSC Warns Consumers to Immediately Stop Using Kids Light Up Ballet Skirts Due to Risk of Serious Injury or Death from Ingestion Hazard; Violations of Federal Regulations for Consumer Products with Button Cell Batteries; Sold on Walmart.com","Kids Light Up Ballet Skirts","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using&nbsp;Kids Light Up&nbsp;Ballet Skirts.&nbsp;The skirts violate the mandatory federal regulations for consumer products containing button cell or coin batteries.&nbsp;The string of LED lights connected to the skirts contains button cell batteries that can be easily accessed by children, posing an ingestion hazard.&nbsp;In addition, the products do not bear&nbsp;the required warnings.&nbsp;Reese’s Law and CPSC regulations that implement it establish performance and warning label requirements for consumer products with button cell or coin batteries to protect children from life threatening ingestion. If a child swallows a button cell or coin battery, it can cause serious injuries, internal chemical burns or death.The CPSC issued a Notice of Violation to the seller,&nbsp;Happy Cart Emporium, of China, doing business as&nbsp;PLGEBR, but&nbsp;the seller has not agreed to an acceptable recall.&nbsp;The&nbsp;Kids Light Up Ballet Skirts&nbsp;were sold online from&nbsp;April 2024 through February 2025&nbsp;for about $6.&nbsp;The skirts were sold in yellow with silver circles and stars on the outer layer. The battery compartment of the lights connected to the skirts contains three LR44 Alkaline button cell batteries. CPSC is aware that the skirts were also sold in the colors pink, rose red, red, blue and green.&nbsp;These products were manufactured in China.CPSC urges consumers to stop using the&nbsp;Kids Light Up Ballet Skirts immediately and dispose of them.&nbsp;Button cell and coin batteries are hazardous.&nbsp;When disposing of or recycling button cell or coin batteries, do so in a manner that follows local hazardous waste procedures.Do not sell or give away these hazardous Kids Light Up Ballet Skirts.Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The skirts violate the mandatory federal regulations for consumer products containing button cell or coin batteries.&nbsp;The string of LED lights connected to the skirts contains button cell batteries that can be easily accessed by children, posing an ingestion hazard.&nbsp;In addition, the products do not bear&nbsp;the required warnings.","CPSC urges consumers to stop using the Kids Light Up Ballet Skirts immediately and dispose of them.",,,,"Sold At","The Kids Light Up Ballet Skirts were sold online from April 2024 through February 2025 for about $6.",,,,China,,
25-332,"June 12, 2025","CPSC Warns Consumers to Immediately Stop Using Sizhinai LED Tutu Skirts Due to Risk of Serious Injury or Death from Ingestion Hazard; Violations of Federal Standard for Consumer Products with Coin Batteries; Sold on Amazon.com","Sizhinai LED Tutu Skirts","WASHINGTON, D.C. –&nbsp;The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using Sizhinai LED Tutu Skirts.&nbsp;The skirts violate the mandatory federal standard for consumer products containing coin batteries.&nbsp;The string of LED lights connected to the skirts contains coin cell batteries that can be easily accessed by children, posing an ingestion hazard.&nbsp;In addition, the products do not bear&nbsp;the required warnings.&nbsp;Reese’s Law and the CPSC mandatory standard that implements it establish performance and warning label requirements for consumer products with button cell or coin batteries to protect children from life threatening ingestion. If a child swallows a button cell or coin battery, it can cause serious injuries, internal chemical burns or death.CPSC issued a Notice of Violation to the seller,&nbsp;Hongkong Tianyu Electronic Commerce Co. Limited, dba Ausstin, of China, but&nbsp;the seller has not agreed to an acceptable recall.&nbsp;The&nbsp;Sizhinai LED Tutu Skirts&nbsp;were sold on Amazon.com&nbsp;from&nbsp;November 2019 through April 2025 for about $25. The skirts were sold in pink with silver circles and stars on the outer layer. The battery compartment of the lights connected to the skirts contains two CR2032 lithium coin batteries. CPSC is aware that the skirts were also sold in the colors light purple, purple, yellow, rose red, red, royal blue, light blue, blue, light green, green, white and black.&nbsp;These products were manufactured in China.CPSC urges consumers to stop using the&nbsp;LED Tutu Skirts&nbsp;immediately and dispose of them. Button cell and coin batteries are hazardous. The coin batteries in the compartment of the products should be disposed of or recycled following local hazardous waste procedures. Do not sell or give away these hazardous LED Tutu Skirts.Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The skirts violate the mandatory federal standard for consumer products containing coin batteries. The string of LED lights connected to the skirts contains coin cell batteries that can be easily accessed by children, posing an ingestion hazard. In addition, the products do not bear the required warnings.","CPSC urges consumers to stop using the LED Tutu Skirts immediately and dispose of them. Button cell and coin batteries are hazardous. The coin batteries in the compartment of the products should be disposed of or recycled following local hazardous waste procedures. Do not sell or give away these hazardous LED Tutu Skirts.",,,,"Sold At","The Sizhinai LED Tutu Skirts were sold on Amazon.com from November 2019 through April 2025 for about $25.",,,,China,,
